Variable	Value
PR	[35518](https://github.com/qgis/QGIS/pull/35518)
datetime	2020-04-02T23:06:10Z
tags	-
Description	Postgres raster temporal API support
Author	elpaso
milestone	3.14.0
PR	[35511](https://github.com/qgis/QGIS/pull/35511)
datetime	2020-04-06T19:54:23Z
tags	Data Provider;Raster
Description	Allow creation of group boxes in models
Author	nyalldawson
milestone	3.14.0
PR	[35494](https://github.com/qgis/QGIS/pull/35494)
datetime	2020-04-01T08:20:10Z
tags	Processing
Description	Spatialite provider transactions
Author	elpaso
milestone	3.14.0
PR	[35488](https://github.com/qgis/QGIS/pull/35488)
datetime	2020-04-01T09:15:15Z
tags	Data Provider
Description	Port output parameter wrappers to new API
Author	nyalldawson
milestone	3.14.0
PR	[35484](https://github.com/qgis/QGIS/pull/35484)
datetime	2020-04-01T16:29:55Z
tags	Processing
Description	Add import content from clipboard for fixed table items
Author	nirvn
milestone	3.14.0
PR	[35475](https://github.com/qgis/QGIS/pull/35475)
datetime	2020-03-31T10:21:11Z
tags	Print Layouts
Description	Processing: show input and output values for children after running model through designer
Author	nyalldawson
milestone	3.14.0
PR	[35474](https://github.com/qgis/QGIS/pull/35474)
datetime	2020-03-31T09:35:52Z
tags	Processing
Description	Add Save Log to File algorithm for models
Author	nyalldawson
milestone	3.14.0
PR	[35473](https://github.com/qgis/QGIS/pull/35473)
datetime	2020-03-31T09:35:30Z
tags	Processing
Description	plug mesh layer to QGIS temporal framework
Author	vcloarec
milestone	3.14.0
PR	[35466](https://github.com/qgis/QGIS/pull/35466)
datetime	2020-04-03T06:21:16Z
tags	Mesh
Description	Network logger - more functionality
Author	nyalldawson
milestone	3.14.0
PR	[35454](https://github.com/qgis/QGIS/pull/35454)
datetime	2020-03-31T02:53:44Z
tags	-
Description	Port last remaining input parameters to new API
Author	nyalldawson
milestone	3.14.0
PR	[35452](https://github.com/qgis/QGIS/pull/35452)
datetime	2020-03-30T15:06:49Z
tags	Processing
Description	Raster Layer Contour Renderer
Author	wonder-sk
milestone	3.14.0
PR	[35446](https://github.com/qgis/QGIS/pull/35446)
datetime	2020-03-31T06:51:55Z
tags	-
Description	Add percentage size unit for Raster Image Marker and Raster fill layers symbology.
Author	beketata
milestone	3.14.0
PR	[35438](https://github.com/qgis/QGIS/pull/35438)
datetime	2020-04-07T22:32:21Z
tags	Symbology
Description	Port Feature Source, Raster, Vector and Mesh Layer parameters to new API
Author	nyalldawson
milestone	3.14.0
PR	[35419](https://github.com/qgis/QGIS/pull/35419)
datetime	2020-03-28T19:56:24Z
tags	Processing
Description	Server project settings, add 'expanded' attribute
Author	mhugent
milestone	3.14.0
PR	[35408](https://github.com/qgis/QGIS/pull/35408)
datetime	2020-03-30T05:35:07Z
tags	Server
Description	Inbuilt network logging tool
Author	nyalldawson
milestone	3.14.0
